Age,Gender,Country,State,Back-End,Front-End,Designer,Dev-Ops,Dev_Evang,Executive,HR,One-Person,Supervisor,Self_Employed,Remote,1_to_5,6_to_25,26_to_100,101_to_500,500_to_1000,Thousand+,Tech,Health_Care_Options,Do you know the options for mental health care available under your employer-provided coverage?,Boss_Mental_Health_Awareness,Resources,Anonymity ?,Leaving_Ease ,Supervisor_Negative_Consequence,Supervisor_Physical_Health_Negative,Co-Workers_Discussion,Supervisor_Mental_Health,Employer_Mental_Equal_Physical_Health,Negative_Co-Worker_Mental_Health ,Previous_Employer,Previous_Health_Benefits,Health_Care_Awareness ,Prev_Employers_Talk_Mental_Health ,Previous_Resources ,Previous_Anonymity ,Previous_Mental_Health_Discuss_Neg_Consequences ,Previous_Employer_Discuss_Physical_Health_Neg_Conseq,Mental_Health_Co-Workers ,Mental_Health_Supervisor ,Previous_Employer_Mental_Physical_Equal , Previous_Co-Worker_Mental_Health_Neg_Consequences ,Interview_Physical_Health_Awareness ,Interview_Mental_Health_AwarenessWould you bring up a mental health issue with a potential employer in an interview?,Mental_Health_Hurt_Career ,Co-Worker_Aware_Mental_Health_Issues ,Willing_Family_Mental_Health_Awareness ,Previous_Workplace_Poor-Response-Mental ,Family_History,Past_Mental_Health_Issue,Current_Mental_Health_Issue ,Addictive,Anxiety,ADHD,Autism,Burnout,Physical_Mental,Mood,Eating,Personality,PTSD,OCD,Substance,Have you ever sought treatment for a mental health issue from a mental health professional?,Treated_Interference_Mental_Health,No_Treatment_Interference_Mental_Health 
30,Female,United States of America,New Jersey,1,1,0,0,1,0,0,0,1,0,2,0,0,0,1,0,0,1,3,2,0,0,2,5,0,0,2,2,2,0,1,2,3,2,1,3,0,0,2,2,3,0,0,0,0,0,3,0,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,2,3
44,Male,Canada,,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,3,2,2,2,4,0,0,0,1,2,0,1,1,0,0,0,1,3,2,1,2,0,1,2,0,1,2,0,2,0,1,1,,,,,,,,,,,,,0,1,3
35,Male,United States of America,Georgia,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,3,3,0,1,2,5,0,0,2,2,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,3,0,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,3,3
52,Male,United States of America,Oregon,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,2,1,0,1,1,2,1,1,1,1,1,0,1,2,2,2,1,2,2,1,1,2,2,0,1,1,1,1,2,0,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,2,3
32,Female,Canada,,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,3,0,0,0,0,1,2,0,2,0,4,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,3,4
34,Male,United Kingdom,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,3,1,0,2,1,0,0,1,0,3,0,0,1,2,1,1,2,2,0,0,0,1,1,3,1,0,0,0,,,,,,,,,,,,,0,1,1
25,Female,United States of America,Washington,0,0,0,0,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0,2,2,1,2,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,1,4,4
31,Male,United States of America,New York,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,0,1,3,2,0,0,0,2,0,1,1,0,0,1,1,3,0,0,0,0,0,2,0,2,2,1,0,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3
26,Male,United States of America,New York,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,5,0,0,1,2,1,0,1,3,3,0,0,3,0,0,1,2,3,0,1,0,2,2,1,1,2,1,0,,,,,,,,,,,,,0,1,1
35,Male,United States of America,Indiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,2,1,1,4,0,0,1,2,1,0,1,2,3,2,1,3,0,1,1,2,1,0,0,0,1,1,2,0,0,0,0,,,,,,,,,,,,,0,1,1
25,Male,Germany,,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3,3,0,0,1,5,1,1,1,0,1,0,1,3,3,0,0,1,1,1,1,2,1,0,1,1,1,0,2,0,1,1,0,,,,,,,,,,,,,0,1,1
33,Male,Canada,,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,3,3,0,0,1,1,1,0,1,1,1,0,1,2,2,2,1,1,2,1,1,2,2,1,0,0,2,1,3,2,2,2,0,,,,,,,,,,,,,1,3,4
38,Male,United States of America,New York,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,1,2,1,1,2,1,1,1,1,1,0,-1,-1,0,0,0,,,,,,,,,,,,,0,1,1
42,Male,Germany,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,3,1,2,2,5,0,0,1,1,2,0,0,,,,,,,,,,,,1,1,1,0,4,1,0,0,0,,,,,,,,,,,,,0,1,1
27,Male,Netherlands,,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,2,2,0,0,0,0,1,0,2,2,0,1,2,1,0,1,2,0,0,1,2,2,3,1,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,2,4
35,Male,Germany,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,2,2,1,1,0,0,1,,,,,,,,,,,,,1,3,4
34,Female,United Kingdom,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,2,1,2,1,0,1,1,1,1,1,1,1,0,0,1,2,1,0,0,0,2,1,0,2,0,2,2,2,2,1,,,,,,,,,,,,,1,3,4
30,Male,United States of America,New York,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,3,3,0,2,2,5,0,0,2,2,2,0,1,2,3,0,1,3,0,0,2,1,3,0,0,0,0,0,4,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,4,3
31,Male,United States of America,Minnesota,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,2,2,0,0,1,5,1,0,0,1,0,0,0,,,,,,,,,,,,0,0,1,1,3,0,1,2,1,,,,,,,,,,,,,0,2,4
37,Male,Czech Republic,,1,1,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,1,2,1,0,0,1,1,1,1,3,1,0,0,1,1,1,3,0,0,0,0,,,,,,,,,,,,,0,1,1
36,Male,United Kingdom,,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,3,2,0,1,2,5,0,0,1,2,2,0,1,0,0,0,0,1,2,1,0,0,0,0,2,2,0,0,1,1,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3
33,Male,Germany,,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,2,1,4,1,0,0,0,1,1,1,0,0,0,0,2,2,0,1,0,0,0,0,0,2,2,3,0,0,0,0,,,,,,,,,,,,,0,1,1
44,Male,United States of America,Washington,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,3,2,0,2,2,5,0,0,2,1,2,0,1,2,2,2,1,1,2,1,1,2,2,1,2,2,1,1,3,2,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,3,4
29,Male,United Kingdom,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,0,0,1,4,0,0,2,2,2,0,1,0,3,0,0,0,2,0,1,2,0,2,1,1,1,2,3,2,0,0,1,,,,,,,,,,,,,0,0,3
29,Male,United Kingdom,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,2,2,0,1,4,0,0,1,2,1,0,1,0,0,0,0,1,1,0,1,2,2,0,2,1,1,0,4,0,2,2,1,,,,,,,,,,,,,1,2,3
44,Male,Canada,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,3,3,1,1,1,2,1,0,2,2,1,1,1,2,1,0,1,1,2,1,2,3,1,1,2,2,1,1,4,2,1,0,0,,,,,,,,,,,,,0,1,1
34,Male,United States of America,Georgia,1,0,0,1,0,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,1,3,1,0,1,3,2,1,2,2,0,1,1,0,2,0,3,2,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3
40,Male,United States of America,Minnesota,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,3,2,0,1,2,4,0,0,1,2,0,0,1,2,2,2,1,3,2,0,1,2,2,1,1,1,0,0,3,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3
28,Male,Lithuania,,1,0,0,1,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,2,0,1,2,2,1,2,0,2,0,3,2,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,3,4
41,Male,United States of America,Georgia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,3,0,0,0,0,,,,,,,,,,,,,0,1,1
33,Male,United States of America,Kentucky,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,3,3,1,2,1,4,1,1,1,1,0,0,1,0,0,0,0,0,3,2,0,0,0,1,0,0,2,2,3,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,3,4
32,Male,United States of America,Ohio,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,1,2,2,2,1,2,2,1,2,2,1,1,2,1,0,1,4,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,2,4
45,Male,United States of America,Virginia,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,1,0,1,1,3,1,0,0,1,1,0,1,2,2,0,1,1,2,1,1,2,2,0,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,,0,1,3
43,Male,United Kingdom,,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,1,1,0,1,1,1,2,2,0,1,2,1,2,2,1,,,,,,,,,,,,,1,1,1
37,Female,United States of America,California,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,1,3,3,0,0,2,5,0,0,2,1,1,0,1,2,3,2,2,3,2,0,1,2,2,1,0,0,1,1,3,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,4,4
37,Male,Australia,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,4,1,1,0,0,1,0,1,0,0,0,0,1,2,1,0,0,1,0,0,0,2,1,2,1,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,3,4
27,Male,United States of America,California,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,3,3,0,0,2,5,1,1,2,2,1,0,1,2,2,0,1,3,2,1,1,2,2,1,2,2,1,1,3,1,2,0,0,,,,,,,,,,,,,0,1,1
31,Male,Netherlands,,1,1,0,0,0,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,3,3,0,0,1,3,1,2,3,3,0,2,1,1,0,-1,-1,0,0,0,,,,,,,,,,,,,0,1,1
36,Male,United States of America,California,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,3,3,0,2,1,1,1,1,1,2,2,0,1,3,3,2,1,3,2,1,1,2,2,1,1,0,1,0,2,2,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3
34,Male,United States of America,Florida,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,3,3,0,0,1,3,1,0,1,1,1,0,1,0,3,0,0,1,2,0,1,2,1,0,1,0,2,1,2,0,0,1,1,,,,,,,,,,,,,1,2,4
31,Female,United States of America,Massachusetts,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,2,2,1,1,1,1,2,2,1,0,1,2,0,2,1,1,2,1,1,2,2,2,0,0,1,0,1,0,0,0,0,,,,,,,,,,,,,0,1,1
30,Male,United States of America,Oregon,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,3,0,2,1,4,0,0,2,2,2,0,0,,,,,,,,,,,,1,1,1,0,3,0,2,1,1,,,,,,,,,,,,,1,2,4
32,Male,Canada,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,3,0,1,2,1,1,0,1,2,0,0,1,2,1,0,1,3,2,1,0,0,0,0,2,0,2,1,1,1,2,1,1,,,,,,,,,,,,,0,3,4
40,Female,United States of America,North Dakota,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,2,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,2,1,0,1,0,0,1,1,0,1,1,1,,,,,,,,,,,,,0,1,1
40,Male,United States of America,Tennessee,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,0,1,2,1,0,1,0,1,0,1,0,2,0,0,1,2,0,1,1,0,0,2,1,1,0,-1,0,1,0,0,,,,,,,,,,,,,0,1,1
41,Male,France,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3,2,2,2,1,2,0,0,1,2,0,0,1,0,0,0,0,1,2,1,1,0,0,0,1,1,2,2,3,1,1,0,1,,,,,,,,,,,,,0,3,3
27,Male,United Kingdom,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,1,1,0,0,0,1,3,0,1,2,1,1,2,1,2,2,3,1,0,2,1,,,,,,,,,,,,,1,2,4
30,Male,United States of America,New York,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,3,3,0,0,1,4,0,0,2,2,1,0,1,2,1,0,0,1,2,0,1,3,0,0,1,1,1,0,3,2,0,0,0,,,,,,,,,,,,,0,1,1
29,Male,Venezuela,,1,1,0,0,0,0,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,2,1,1,0,1,0,0,0,2,2,2,2,1,1,1,,,,,,,,,,,,,0,1,1
38,Male,United Kingdom,,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,3,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,0,1,1
35,Male,Netherlands,,1,0,0,0,0,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,-1,-1,0,0,0,,,,,,,,,,,,,0,1,1
35,Female,United States of America,Indiana,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,3,0,0,1,1,1,0,1,1,0,1,1,0,2,0,0,1,1,0,1,2,2,1,2,0,2,2,3,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,2,4
29,Male,United States of America,Texas,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,3,2,2,2,1,2,1,1,0,0,1,0,1,0,3,2,0,0,3,1,0,2,0,1,2,0,2,2,3,2,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,4,4
28,Male,United States of America,New York,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,2,0,1,2,3,1,1,0,1,1,0,1,2,2,0,0,1,1,1,1,2,0,1,1,0,2,1,3,0,2,1,0,,,,,,,,,,,,,0,1,1
27,Male,Netherlands,,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,3,0,1,2,5,0,0,0,2,2,0,1,0,0,0,2,1,0,0,1,3,3,0,0,0,1,2,4,0,1,2,1,,,,,,,,,,,,,1,2,4
39,Male,Poland,,1,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,1,1,1,2,0,1,2,1,1,0,-1,1,0,2,0,,,,,,,,,,,,,1,1,1
28,Male,Belgium,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,3,2,0,1,1,2,0,0,1,1,1,0,0,,,,,,,,,,,,2,1,1,1,3,0,0,0,0,,,,,,,,,,,,,0,1,1
46,Male,United States of America,Texas,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,2,1,0,0,1,0,2,1,0,0,0,0,1,1,0,0,0,1,3,2,0,0,0,0,0,0,2,2,0,0,2,0,0,,,,,,,,,,,,,0,1,1
40,Male,Netherlands,,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,5,0,0,2,2,1,0,1,1,0,0,0,1,2,1,2,3,1,0,2,2,1,0,4,0,0,2,0,,,,,,,,,,,,,1,1,1
37,Male,United States of America,Tennessee,1,0,0,1,0,0,0,0,1,0,2,0,0,1,0,0,0,1,3,3,0,0,2,5,0,0,1,2,2,0,1,1,0,0,0,1,2,0,1,2,1,0,1,0,1,0,3,0,2,1,1,,,,,,,,,,,,,0,1,3
41,Male,Netherlands,,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,5,0,0,1,2,1,0,1,2,0,0,0,1,0,0,2,3,1,0,1,0,1,0,3,0,2,0,0,,,,,,,,,,,,,0,1,1
19,Male,France,,1,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,2,3,1,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
38,Female,Netherlands,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,0,0,0,4,0,0,2,1,2,0,1,1,0,0,1,0,2,1,1,2,2,0,1,1,1,0,3,0,0,0,0,,,,,,,,,,,,,0,1,1
33,Male,United States of America,District of Columbia,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,2,0,1,1,1,1,0,0,0,0,0,1,2,2,1,1,2,1,0,1,2,0,0,2,0,1,1,2,0,0,0,0,,,,,,,,,,,,,0,1,1
33,Male,United States of America,Tennessee,1,0,0,0,1,0,0,0,1,0,2,0,0,1,0,0,0,1,3,3,0,2,2,5,0,0,1,2,2,0,1,2,2,2,1,3,2,1,1,2,2,0,2,1,1,0,4,0,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3
21,Male,United Kingdom,,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,3,0,1,2,3,0,0,1,2,1,0,1,0,0,0,0,1,1,0,1,2,1,0,0,0,1,1,3,0,0,0,0,,,,,,,,,,,,,0,1,1
36,Male,Brazil,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,2,2,0,0,0,3,2,0,0,0,1,0,0,1,1,1,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4
39,Male,Canada,,1,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,1,0,2,0,0,3,1,1,1,2,2,0,1,0,1,1,1,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3
35,Male,United States of America,Illinois,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,2,2,0,1,2,4,0,0,1,2,2,0,0,,,,,,,,,,,,2,1,0,0,3,0,0,0,0,,,,,,,,,,,,,0,1,1
36,Male,France,,1,0,0,0,0,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,1,3,3,1,0,3,1,0,1,2,1,1,0,0,1,1,4,1,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3
45,Male,United States of America,Michigan,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,0,1,1,2,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,2,1,1,1,2,0,1,1,,,,,,,,,,,,,0,1,1
41,Male,Canada,,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,1,0,0,1,1,1,0,1,1,0,0,1,1,2,0,1,1,1,0,1,2,2,0,2,0,2,1,3,0,0,1,1,,,,,,,,,,,,,0,1,2
35,Male,United Kingdom,,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,2,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,2,1,1,2,0,0,1,1,2,2,2,2,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,3,4
30,Male,United States of America,Texas,1,1,0,0,0,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,2,1,1,2,1,0,2,1,0,0,3,0,1,1,1,,,,,,,,,,,,,1,3,4
24,Female,United States of America,Illinois,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,2,2,2,2,5,0,0,1,1,2,0,0,,,,,,,,,,,,0,0,0,0,4,0,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,3,4
33,Male,Brazil,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,3,-1,1,2,0,,,,,,,,,,,,,1,0,3
35,Male,United States of America,Washington,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3,3,1,2,1,2,1,1,1,1,1,0,1,3,3,1,2,1,2,0,1,1,1,0,0,0,2,2,1,0,2,2,1,,,,,,,,,,,,,1,2,4
26,Male,United Kingdom,,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,2,1,1,2,0,0,1,2,2,0,1,0,0,0,0,1,3,1,0,0,0,0,2,1,1,1,3,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3
17,Male,Brazil,,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,1,1,2,0,0,2,0,1,1,0,0,0,0,1,2,0,0,1,2,0,2,2,1,2,0,2,0,0,0,,,,,,,,,,,,,0,0,3
29,Female,United States of America,North Dakota,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,0,0,1,2,0,0,1,2,1,0,1,0,0,0,0,3,0,0,0,2,2,0,1,1,1,1,3,-1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,3,4
26,Male,United States of America,California,1,0,0,0,0,0,0,0,0,0,1,,,,,,,1,3,2,0,1,1,2,0,0,1,1,1,0,1,2,2,2,0,2,0,0,1,2,2,0,2,0,0,1,3,0,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,2,4
